Per Capita Income - BRL,IDH-L,IDH-E,IDH-R,IDH
1316.0,92.4,99.3,97.2,96.3
1376.0,88.8,99.0,97.9,95.2
1376.0,88.8,99.0,97.9,95.2
1206.0,88.2,99.3,95.7,94.4
1134.0,88.8,98.9,95.7,94.4
1183.0,87.3,99.4,95.4,94.0
1000.0,87.3,99.3,92.6,93.1
1204.0,83.39999999999998,98.7,95.7,92.6
1204.0,83.39999999999998,98.7,95.7,92.6
825.0,88.2,99.0,89.4,92.2
768.0,86.9,98.2,88.2,91.1
669.0,87.7,99.2,85.9,90.9
897.0,83.3,98.7,90.8,90.9
715.0,85.7,98.9,87.0,90.5
684.0,87.5,97.5,86.3,90.4
730.0,85.7,98.1,87.3,90.4
730.0,85.7,98.1,87.3,90.4
684.0,87.5,97.5,86.3,90.4
822.0,83.3,97.8,89.3,90.1
931.0,80.80000000000003,98.1,91.4,90.1
751.0,84.39999999999998,97.8,87.8,90.0
709.0,84.5,98.8,86.8,90.0
766.0,83.39999999999998,97.9,88.2,89.8
633.0,85.2,98.1,85.0,89.4
614.0,81.8,98.3,84.5,88.2
701.0,81.8,95.0,86.7,87.8
544.0,85.3,95.1,82.39999999999998,87.6
1131.0,76.9,90.5,94.6,87.3
462.0,81.0,96.3,79.7,85.6
