Per Capita Income - BRL,IDH-L,IDH-E,IDH-R,IDH
2139.0,92.4,98.7,100.0,97.0
2441.0,90.8,99.3,100.0,96.7
1316.0,92.4,99.3,97.2,96.3
2465.0,89.5,99.2,100.0,96.2
2955.0,88.2,99.6,100.0,95.89999999999999
1781.0,88.2,99.5,100.0,95.89999999999999
1830.0,88.2,99.5,100.0,95.89999999999999
2488.0,88.1,99.6,100.0,95.89999999999999
2488.0,88.1,99.6,100.0,95.89999999999999
1679.0,88.1,99.2,100.0,95.7
1952.0,88.1,99.1,100.0,95.7
1623.0,88.0,99.0,100.0,95.6
1713.0,87.5,99.2,100.0,95.5
1376.0,88.8,99.0,97.89999999999999,95.19999999999999
1376.0,88.8,99.0,97.89999999999999,95.19999999999999
1206.0,88.2,99.3,95.7,94.39999999999999
1183.0,87.3,99.4,95.39999999999999,94.0
1000.0,87.3,99.3,92.60000000000001,93.10000000000001
1204.0,83.39999999999999,98.7,95.7,92.60000000000001
1204.0,83.39999999999999,98.7,95.7,92.60000000000001
825.0,88.2,99.0,89.4,92.2
768.0,86.9,98.2,88.2,91.10000000000001
669.0,87.7,99.2,85.9,90.9
897.0,83.3,98.7,90.8,90.9
715.0,85.7,98.9,87.0,90.5
684.0,87.5,97.5,86.3,90.4
684.0,87.5,97.5,86.3,90.4
730.0,85.7,98.1,87.3,90.4
730.0,85.7,98.1,87.3,90.4
822.0,83.3,97.8,89.3,90.10000000000001
931.0,80.80000000000001,98.1,91.4,90.10000000000001
709.0,84.5,98.8,86.8,90.0
751.0,84.39999999999999,97.8,87.8,90.0
766.0,83.39999999999999,97.89999999999999,88.2,89.8
1166.0,79.3,93.89999999999999,95.19999999999999,89.4
1166.0,79.3,93.89999999999999,95.19999999999999,89.4
633.0,85.2,98.1,85.0,89.4
633.0,85.2,98.1,85.0,89.4
614.0,81.8,98.3,84.5,88.2
701.0,81.8,95.0,86.7,87.8
701.0,81.8,95.0,86.7,87.8
496.0,85.3,96.89999999999999,80.9,87.7
496.0,85.3,96.89999999999999,80.9,87.7
544.0,85.3,95.1,82.39999999999999,87.6
498.0,87.0,94.89999999999999,81.0,87.6
1131.0,76.9,90.5,94.6,87.3
1131.0,76.9,90.5,94.6,87.3
640.0,78.4,96.5,85.1,86.7
640.0,78.4,96.5,85.1,86.7
552.0,82.8,92.80000000000001,82.69999999999999,86.1
518.0,81.8,94.89999999999999,81.6,86.1
518.0,81.8,94.89999999999999,81.6,86.1
505.0,79.4,97.39999999999999,81.2,86.0
505.0,79.4,97.39999999999999,81.2,86.0
527.0,79.7,96.1,81.89999999999999,85.9
527.0,79.7,96.1,81.89999999999999,85.9
583.0,79.5,94.5,83.6,85.9
573.0,78.9,95.3,83.3,85.8
517.0,80.9,95.0,81.6,85.8
517.0,80.9,95.0,81.6,85.8
517.0,80.9,95.0,81.6,85.8
508.0,81.6,94.3,81.3,85.7
536.0,79.4,95.39999999999999,82.19999999999999,85.7
467.0,80.5,96.6,79.9,85.7
462.0,81.0,96.3,79.7,85.6
462.0,81.0,96.3,79.7,85.6
462.0,81.0,96.3,79.7,85.6
1134.0,88.8,98.9,95.7,94.39999999999999
441.0,81.0,96.5,78.9,85.5
460.0,81.39999999999999,94.89999999999999,79.60000000000001,85.3
399.0,83.39999999999999,94.69999999999999,77.3,85.1
447.0,79.4,96.6,79.2,85.0
424.0,81.5,95.19999999999999,78.3,85.0
590.0,75.5,95.5,83.8,84.89999999999999
498.0,77.8,94.69999999999999,81.0,84.5
426.0,79.4,93.89999999999999,78.3,83.89999999999999
513.0,76.1,94.1,81.5,83.89999999999999
513.0,76.1,94.1,81.5,83.89999999999999
513.0,76.1,94.1,81.5,83.89999999999999
557.0,75.5,93.30000000000001,82.8,83.89999999999999
436.0,79.4,92.7,78.7,83.6
362.0,80.60000000000001,94.39999999999999,75.7,83.5
397.0,79.4,93.8,77.2,83.5
412.0,78.8,93.30000000000001,77.8,83.3
412.0,78.8,93.30000000000001,77.8,83.3
428.0,78.60000000000001,92.80000000000001,78.5,83.3
355.0,81.2,93.30000000000001,75.3,83.3
419.0,76.6,94.69999999999999,78.10000000000001,83.1
389.0,79.3,93.2,76.9,83.1
439.0,77.5,92.9,78.9,83.1
413.0,81.2,89.7,77.8,82.89999999999999
362.0,79.3,93.5,75.7,82.8
444.0,76.9,91.9,79.10000000000001,82.6
376.0,81.0,90.10000000000001,76.3,82.5
457.0,81.8,85.39999999999999,79.5,82.19999999999999
650.0,75.5,85.7,85.39999999999999,82.19999999999999
416.0,77.10000000000001,90.10000000000001,78.0,81.69999999999999
338.0,76.6,93.4,74.5,81.5
366.0,75.2,93.30000000000001,75.8,81.39999999999999
336.0,75.2,94.0,74.4,81.2
336.0,75.2,93.4,74.4,81.0
324.0,76.1,93.10000000000001,73.8,81.0
351.0,74.7,93.10000000000001,75.1,81.0
328.0,75.7,92.4,74.0,80.7
328.0,75.7,92.4,74.0,80.7
328.0,75.7,92.4,74.0,80.7
283.0,76.6,94.0,71.5,80.7
299.0,76.4,92.80000000000001,72.5,80.60000000000001
313.0,75.2,92.9,73.2,80.4
373.0,74.3,90.8,76.1,80.4
303.0,74.8,93.7,72.7,80.4
316.0,74.4,93.10000000000001,73.4,80.30000000000001
302.0,74.5,93.5,72.6,80.2
325.0,74.8,91.9,73.9,80.2
318.0,73.2,93.89999999999999,73.5,80.2
324.0,74.3,92.30000000000001,73.8,80.2
357.0,72.2,92.30000000000001,75.4,80.0
357.0,72.2,92.30000000000001,75.4,80.0
473.0,63.0,96.39999999999999,80.10000000000001,79.80000000000001
473.0,63.0,96.39999999999999,80.10000000000001,79.80000000000001
296.0,74.6,91.3,72.3,79.4
320.0,75.5,88.6,73.6,79.2
320.0,75.5,88.6,73.6,79.2
320.0,75.5,88.6,73.6,79.2
290.0,72.2,93.2,72.0,79.10000000000001
286.0,73.8,91.5,71.7,79.0
278.0,73.2,92.0,71.2,78.8
256.0,73.9,90.3,69.8,78.0
300.0,71.3,89.5,72.5,77.8
300.0,71.3,89.5,72.5,77.8
296.0,70.89999999999999,88.7,72.3,77.3
331.0,70.89999999999999,85.8,74.2,76.9
251.0,70.7,90.3,69.5,76.8
274.0,71.3,88.0,71.0,76.8
296.0,69.39999999999999,87.3,72.3,76.3
262.0,70.6,87.8,70.3,76.2
264.0,68.8,89.0,70.39999999999999,76.1
205.0,70.89999999999999,90.60000000000001,66.2,75.9
236.0,73.2,84.3,68.5,75.3
203.0,69.39999999999999,89.9,66.0,75.1
207.0,69.39999999999999,89.4,66.3,75.1
198.0,69.39999999999999,89.8,65.60000000000001,75.0
207.0,68.30000000000001,89.5,66.3,74.7
279.0,68.8,83.6,71.3,74.6
279.0,68.8,83.6,71.3,74.6
279.0,68.8,83.6,71.3,74.6
220.0,67.2,89.0,67.30000000000001,74.5
