Neighborhood,IDH-L,IDH-E,IDH-R,IDH
Gávea,92.4,98.7,100.0,97.0
Leblon,90.8,99.3,100.0,96.7
Jardim Guanabara,92.4,99.3,97.2,96.3
Ipanema,89.5,99.2,100.0,96.2
Lagoa,88.2,99.6,100.0,95.89999999999999
Flamengo,88.2,99.5,100.0,95.89999999999999
Humaitá,88.2,99.5,100.0,95.89999999999999
Barra da Tijuca,88.1,99.6,100.0,95.89999999999999
 Joá,88.1,99.6,100.0,95.89999999999999
Laranjeiras,88.1,99.2,100.0,95.7
Jardim Botânico,88.1,99.1,100.0,95.7
Copacabana,88.0,99.0,100.0,95.6
Leme,87.5,99.2,100.0,95.5
Botafogo,88.8,99.0,97.89999999999999,95.19999999999999
 Urca,88.8,99.0,97.89999999999999,95.19999999999999
Maracanã,88.2,99.3,95.7,94.39999999999999
Glória,87.3,99.4,95.39999999999999,94.0
Méier,87.3,99.3,92.60000000000001,93.10000000000001
Tijuca,83.39999999999999,98.7,95.7,92.60000000000001
 Alto da Boa Vista,83.39999999999999,98.7,95.7,92.60000000000001
Todos os Santos,88.2,99.0,89.4,92.2
Anil,86.9,98.2,88.2,91.10000000000001
Vila da Penha,87.7,99.2,85.9,90.9
Andaraí,83.3,98.7,90.8,90.9
Riachuelo,85.7,98.9,87.0,90.5
Campinho,87.5,97.5,86.3,90.4
 Vila Valqueire,87.5,97.5,86.3,90.4
Moneró,85.7,98.1,87.3,90.4
 Portuguesa,85.7,98.1,87.3,90.4
Catete,83.3,97.8,89.3,90.10000000000001
Vila Isabel,80.80000000000001,98.1,91.4,90.10000000000001
Cachambi,84.5,98.8,86.8,90.0
Pechincha,84.39999999999999,97.8,87.8,90.0
Freguesia (Ilha),83.39999999999999,97.89999999999999,88.2,89.8
Recreio dos Bandeirantes,79.3,93.89999999999999,95.19999999999999,89.4
 Grumari,79.3,93.89999999999999,95.19999999999999,89.4
Centro,85.2,98.1,85.0,89.4
 Lapa,85.2,98.1,85.0,89.4
Higienópolis,81.8,98.3,84.5,88.2
Santa Teresa,81.8,95.0,86.7,87.8
 Cosme Velho,81.8,95.0,86.7,87.8
Água Santa,85.3,96.89999999999999,80.9,87.7
 Encantado,85.3,96.89999999999999,80.9,87.7
Taquara,85.3,95.1,82.39999999999999,87.6
Vila Kosmos,87.0,94.89999999999999,81.0,87.6
Vidigal,76.9,90.5,94.6,87.3
 São Conrado,76.9,90.5,94.6,87.3
Cidade Nova,78.4,96.5,85.1,86.7
 Praça da Bandeira,78.4,96.5,85.1,86.7
Bonsucesso,82.8,92.80000000000001,82.69999999999999,86.1
Cocotá,81.8,94.89999999999999,81.6,86.1
 Bancários,81.8,94.89999999999999,81.6,86.1
Maria da Graça,79.4,97.39999999999999,81.2,86.0
 Del Castilho,79.4,97.39999999999999,81.2,86.0
Ribeira,79.7,96.1,81.89999999999999,85.9
 Cacuia,79.7,96.1,81.89999999999999,85.9
Lins de Vasconcelos,79.5,94.5,83.6,85.9
Engenho Novo,78.9,95.3,83.3,85.8
Zumbi,80.9,95.0,81.6,85.8
 Pitangueiras,80.9,95.0,81.6,85.8
 Praia da Bandeira,80.9,95.0,81.6,85.8
Ramos,81.6,94.3,81.3,85.7
Engenho de Dentro,79.4,95.39999999999999,82.19999999999999,85.7
Abolição,80.5,96.6,79.9,85.7
Deodoro,81.0,96.3,79.7,85.6
 Vila Militar,81.0,96.3,79.7,85.6
 Campo dos Afonsos,81.0,96.3,79.7,85.6
Jardim Sulacap,88.8,98.9,95.7,94.39999999999999
Oswaldo Cruz,81.0,96.5,78.9,85.5
Olaria,81.39999999999999,94.89999999999999,79.60000000000001,85.3
Bento Ribeiro,83.39999999999999,94.69999999999999,77.3,85.1
Piedade,79.4,96.6,79.2,85.0
Quintino Bocaiúva,81.5,95.19999999999999,78.3,85.0
Rio Comprido,75.5,95.5,83.8,84.89999999999999
Praça Seca,77.8,94.69999999999999,81.0,84.5
Jardim América,79.4,93.89999999999999,78.3,83.89999999999999
Jacaré,76.1,94.1,81.5,83.89999999999999
 Rocha,76.1,94.1,81.5,83.89999999999999
 Sampaio,76.1,94.1,81.5,83.89999999999999
Freguesia,75.5,93.30000000000001,82.8,83.89999999999999
