Neighborhood,Metrics,Metrics Value
Gávea,IDH-L,92.4
Leblon,IDH-L,90.8
Jardim Guanabara,IDH-L,92.4
Ipanema,IDH-L,89.5
Lagoa,IDH-L,88.2
Flamengo,IDH-L,88.2
Humaitá,IDH-L,88.2
Barra da Tijuca,IDH-L,88.1
 Joá,IDH-L,88.1
Laranjeiras,IDH-L,88.1
Jardim Botânico,IDH-L,88.1
Copacabana,IDH-L,88.0
Leme,IDH-L,87.5
Botafogo,IDH-L,88.8
 Urca,IDH-L,88.8
Maracanã,IDH-L,88.2
Glória,IDH-L,87.3
Méier,IDH-L,87.3
Tijuca,IDH-L,83.39999999999999
 Alto da Boa Vista,IDH-L,83.39999999999999
Todos os Santos,IDH-L,88.2
Anil,IDH-L,86.9
Vila da Penha,IDH-L,87.7
Andaraí,IDH-L,83.3
Riachuelo,IDH-L,85.7
Campinho,IDH-L,87.5
 Vila Valqueire,IDH-L,87.5
Moneró,IDH-L,85.7
 Portuguesa,IDH-L,85.7
Catete,IDH-L,83.3
Vila Isabel,IDH-L,80.80000000000001
Cachambi,IDH-L,84.5
Pechincha,IDH-L,84.39999999999999
Freguesia (Ilha),IDH-L,83.39999999999999
Recreio dos Bandeirantes,IDH-L,79.3
 Grumari,IDH-L,79.3
Centro,IDH-L,85.2
 Lapa,IDH-L,85.2
Higienópolis,IDH-L,81.8
Santa Teresa,IDH-L,81.8
 Cosme Velho,IDH-L,81.8
Água Santa,IDH-L,85.3
 Encantado,IDH-L,85.3
Taquara,IDH-L,85.3
Vila Kosmos,IDH-L,87.0
Vidigal,IDH-L,76.9
 São Conrado,IDH-L,76.9
Cidade Nova,IDH-L,78.4
 Praça da Bandeira,IDH-L,78.4
Bonsucesso,IDH-L,82.8
Cocotá,IDH-L,81.8
 Bancários,IDH-L,81.8
Maria da Graça,IDH-L,79.4
 Del Castilho,IDH-L,79.4
Ribeira,IDH-L,79.7
 Cacuia,IDH-L,79.7
Lins de Vasconcelos,IDH-L,79.5
Engenho Novo,IDH-L,78.9
Zumbi,IDH-L,80.9
 Pitangueiras,IDH-L,80.9
 Praia da Bandeira,IDH-L,80.9
Ramos,IDH-L,81.6
Engenho de Dentro,IDH-L,79.4
Abolição,IDH-L,80.5
Deodoro,IDH-L,81.0
 Vila Militar,IDH-L,81.0
 Campo dos Afonsos,IDH-L,81.0
Jardim Sulacap,IDH-L,88.8
Oswaldo Cruz,IDH-L,81.0
Olaria,IDH-L,81.39999999999999
Bento Ribeiro,IDH-L,83.39999999999999
Piedade,IDH-L,79.4
Quintino Bocaiúva,IDH-L,81.5
Rio Comprido,IDH-L,75.5
Praça Seca,IDH-L,77.8
Jardim América,IDH-L,79.4
Jacaré,IDH-L,76.1
 Rocha,IDH-L,76.1
 Sampaio,IDH-L,76.1
Freguesia,IDH-L,75.5
Jardim Carioca,IDH-L,79.4
Engenho da Rainha,IDH-L,80.60000000000001
Brás de Pina,IDH-L,79.4
São Cristóvão,IDH-L,78.8
 Vasco da Gama,IDH-L,78.8
Cascadura,IDH-L,78.60000000000001
Parque Anchieta,IDH-L,81.2
Madureira,IDH-L,76.6
Pilares,IDH-L,79.3
Tanque,IDH-L,77.5
Estácio,IDH-L,81.2
Curicica,IDH-L,79.3
Penha Circular,IDH-L,76.9
Benfica,IDH-L,81.0
Paquetá,IDH-L,81.8
Itanhangá,IDH-L,75.5
Tauá,IDH-L,77.10000000000001
Rocha Miranda,IDH-L,76.6
Marechal Hermes,IDH-L,75.2
Turiaçu,IDH-L,75.2
Guadalupe,IDH-L,75.2
Inhaúma,IDH-L,76.1
Campo Grande,IDH-L,74.7
Cavalcanti,IDH-L,75.7
 Engenheiro Leal,IDH-L,75.7
 Vaz Lobo,IDH-L,75.7
Ricardo de Albuquerque,IDH-L,76.6
Coelho Neto,IDH-L,76.4
Padre Miguel,IDH-L,75.2
Penha,IDH-L,74.3
Honório Gurgel,IDH-L,74.8
Realengo,IDH-L,74.4
Senador Vasconcelos,IDH-L,74.5
Tomás Coelho,IDH-L,74.8
Magalhães Bastos,IDH-L,73.2
Catumbi,IDH-L,74.3
Jamelão,IDH-L,72.2
 São Francisco Xavier,IDH-L,72.2
Vista Alegre,IDH-L,63.0
 Irajá,IDH-L,63.0
Bangu,IDH-L,74.6
Saúde,IDH-L,75.5
 Gamboa,IDH-L,75.5
 Santo Cristo,IDH-L,75.5
Cordovil,IDH-L,72.2
Pavuna,IDH-L,73.8
Anchieta,IDH-L,73.2
Santíssimo,IDH-L,73.9
Galeão,IDH-L,71.3
 Cidade Universitária,IDH-L,71.3
Vicente de Carvalho,IDH-L,70.89999999999999
Jacarepaguá,IDH-L,70.89999999999999
Senador Camará,IDH-L,70.7
Gardênia Azul,IDH-L,71.3
Vigário Geral,IDH-L,69.39999999999999
Colégio,IDH-L,70.6
Sepetiba,IDH-L,68.8
Cosmos,IDH-L,70.89999999999999
Caju,IDH-L,73.2
Paciência,IDH-L,69.39999999999999
Cidade de Deus,IDH-L,69.39999999999999
Barros Filho,IDH-L,69.39999999999999
Inhoaíba,IDH-L,68.30000000000001
Camorim,IDH-L,68.8
 Vargem Pequena,IDH-L,68.8
 Vargem Grande,IDH-L,68.8
Parada de Lucas,IDH-L,67.2
Guaratiba,IDH-L,69.39999999999999
 Barra de Guaratiba,IDH-L,69.39999999999999
 Pedra de Guaratiba,IDH-L,69.39999999999999
Santa Cruz,IDH-L,67.5
Rocinha,IDH-L,70.6
Jacarezinho,IDH-L,68.8
Manguinhos,IDH-L,68.8
Maré,IDH-L,69.3
Acari,IDH-L,64.9
 Parque Colúmbia,IDH-L,64.9
Costa Barros,IDH-L,64.9
Complexo do Alemão,IDH-L,66.3
Gávea,IDH-E,98.7
Leblon,IDH-E,99.3
Jardim Guanabara,IDH-E,99.3
Ipanema,IDH-E,99.2
Lagoa,IDH-E,99.6
Flamengo,IDH-E,99.5
Humaitá,IDH-E,99.5
Barra da Tijuca,IDH-E,99.6
 Joá,IDH-E,99.6
Laranjeiras,IDH-E,99.2
Jardim Botânico,IDH-E,99.1
Copacabana,IDH-E,99.0
Leme,IDH-E,99.2
Botafogo,IDH-E,99.0
 Urca,IDH-E,99.0
Maracanã,IDH-E,99.3
Glória,IDH-E,99.4
Méier,IDH-E,99.3
Tijuca,IDH-E,98.7
 Alto da Boa Vista,IDH-E,98.7
Todos os Santos,IDH-E,99.0
Anil,IDH-E,98.2
Vila da Penha,IDH-E,99.2
Andaraí,IDH-E,98.7
Riachuelo,IDH-E,98.9
Campinho,IDH-E,97.5
 Vila Valqueire,IDH-E,97.5
Moneró,IDH-E,98.1
 Portuguesa,IDH-E,98.1
Catete,IDH-E,97.8
Vila Isabel,IDH-E,98.1
Cachambi,IDH-E,98.8
Pechincha,IDH-E,97.8
Freguesia (Ilha),IDH-E,97.89999999999999
Recreio dos Bandeirantes,IDH-E,93.89999999999999
 Grumari,IDH-E,93.89999999999999
Centro,IDH-E,98.1
 Lapa,IDH-E,98.1
Higienópolis,IDH-E,98.3
Santa Teresa,IDH-E,95.0
 Cosme Velho,IDH-E,95.0
Água Santa,IDH-E,96.89999999999999
 Encantado,IDH-E,96.89999999999999
Taquara,IDH-E,95.1
Vila Kosmos,IDH-E,94.89999999999999
Vidigal,IDH-E,90.5
 São Conrado,IDH-E,90.5
Cidade Nova,IDH-E,96.5
 Praça da Bandeira,IDH-E,96.5
Bonsucesso,IDH-E,92.80000000000001
Cocotá,IDH-E,94.89999999999999
 Bancários,IDH-E,94.89999999999999
Maria da Graça,IDH-E,97.39999999999999
 Del Castilho,IDH-E,97.39999999999999
Ribeira,IDH-E,96.1
 Cacuia,IDH-E,96.1
Lins de Vasconcelos,IDH-E,94.5
Engenho Novo,IDH-E,95.3
Zumbi,IDH-E,95.0
 Pitangueiras,IDH-E,95.0
 Praia da Bandeira,IDH-E,95.0
